"Wavelength, µm","n","k"
4.5165,1.45696,0.000906
4.5323,1.45653,0.00129
4.5482,1.45631,0.00177
4.5642,1.45598,0.00174
4.5803,1.45578,0.00126
4.5965,1.45499,0.000815
4.6129,1.45416,0.000708
4.6294,1.45423,0.0012
4.646,1.45443,0.00162
4.6627,1.45416,0.00181
4.6795,1.45372,0.00201
4.6965,1.45299,0.00244
4.7136,1.45226,0.00246
4.7308,1.45226,0.00194
4.7481,1.45246,0.00141
4.7655,1.4517,0.00153
4.7831,1.45048,0.00185
4.8008,1.4499,0.00189
4.8187,1.44983,0.00224
4.8367,1.44946,0.00259
4.8548,1.44919,0.00257
4.873,1.44969,0.0027
4.8914,1.44959,0.00265
4.91,1.44909,0.00221
4.9286,1.44907,0.00167
4.9474,1.44852,0.00139
4.9664,1.44745,0.00136
4.9855,1.44646,0.0015
5.0047,1.44589,0.00227
5.0241,1.44547,0.00321
5.0437,1.44504,0.00357
5.0634,1.44421,0.00365
5.0832,1.4432,0.00387
5.1033,1.44302,0.00413
5.1234,1.44303,0.00384
5.1438,1.44191,0.003
5.1643,1.44083,0.00247
5.1849,1.43993,0.00236
5.2057,1.43833,0.00207
5.2267,1.43751,0.002
5.2479,1.43712,0.00253
5.2692,1.43607,0.0026
5.2907,1.43417,0.00207
5.3124,1.43151,0.00197
5.3343,1.4297,0.00206
5.3563,1.42899,0.00193
5.3785,1.42757,0.00197
5.4009,1.42504,0.00216
5.4235,1.42167,0.00275
5.4463,1.41887,0.00324
5.4693,1.41613,0.00359
5.4925,1.41305,0.00412
5.5159,1.40928,0.00486
5.5394,1.40449,0.00526
5.5632,1.39876,0.00545
5.5872,1.39099,0.0058
5.6114,1.38091,0.00647
5.6358,1.36577,0.00768
5.6604,1.34165,0.0115
5.6852,1.30456,0.0228
5.7103,1.25009,0.0866
5.7355,1.23791,0.226
5.761,1.35093,0.351
5.7867,1.53866,0.361
5.8127,1.65974,0.239
5.8389,1.65328,0.0948
5.8653,1.59795,0.0343
5.8919,1.55603,0.0198
5.9188,1.53346,0.0155
